target,MAE,RMSE,R2,MAPE_%
WOPR_NA2,17.492508861269425,72.30898193719874,0.9906409812488698,560650631.0026988
WBHP_I5,17.647881274050782,54.580353567617834,0.6822612274849233,6.827961631064336
WOPR_NA1A,14.633007828860853,53.1866863566207,0.9968447101857182,400120215.41065025
WBHP_I3,13.668456592630768,48.86572121567118,0.7364490022432574,4.335787764234332
WBHP_I6,14.892027789449063,41.53064647952601,0.8658814112803468,6.701634828308683
WBHP_I2,9.637832221043123,37.290896753800766,0.8363580781814756,3.0190264668778726
WBHP_I4,11.323473652029183,35.66965439863391,0.8793135798298706,4.329388463491103
WBHP_I1,7.365134875517178,22.96760995698095,0.9406468906081922,4.263762796347477
WWIR_I4,8.599317868434653,22.582869632231468,0.6932427715126402,1002357488.4067912
WWPR_NA2,5.019839159274935,22.531100182597786,0.9931135382374588,3768650618.8828244
WWPR_NA3D,5.0449702452218625,20.173187814165836,0.445782555797162,1005615240.9752004
WOPR_RJS19,5.684288071193202,16.715199271623273,0.9996736096744998,829471526.2752111
WOPR_NA3D,3.55903854794765,10.903467168281619,0.9997723354403181,538451485.1348536
WWIR_I6,3.365543977003905,9.121317250979816,0.9617877572571955,336040491.4969082
WWPR_RJS19,1.7118274586381301,6.65231161699648,0.37841177780962754,63313193545.64423
WWIR_I5,1.8881647626977134,6.594894169264264,0.975646230701767,421776956.15446067
WWIR_I3,2.0603045484129336,5.43717253167629,0.985982798356044,645278448.5337745
WWIR_I2,1.2304545289085353,4.976424745296512,0.9859889151894242,231930032.5943566
WWIR_I1,1.2843558747513653,3.922771408141544,0.9901200205082549,411103718.6327899
WWPR_NA1A,0.7885146079922697,3.728443704826118,0.9685266606844071,3608631279.2539263
WBHP_NA2,0.34804008182013485,2.2505287432048853,0.998750330536414,0.5744843426796317
WBHP_NA1A,0.12338481047768668,0.5065266981655205,0.9999048160958941,0.15038041197298316
WBHP_RJS19,0.0879828833953166,0.4280259787218599,0.9997906871327751,0.13207850328530407
WBHP_NA3D,0.02275926566099774,0.27968796094231596,0.9998591263510941,0.05623902875746717
WWPR_I1,0.0,0.0,1.0,0.0
WWPR_I6,0.0,0.0,1.0,0.0
WWPR_I5,0.0,0.0,1.0,0.0
WWPR_I4,0.0,0.0,1.0,0.0
WWPR_I3,0.0,0.0,1.0,0.0
WWPR_I2,0.0,0.0,1.0,0.0
WOPR_I6,0.0,0.0,1.0,0.0
WWIR_RJS19,0.0,0.0,1.0,0.0
WWIR_NA3D,0.0,0.0,1.0,0.0
WOPR_I5,0.0,0.0,1.0,0.0
WWIR_NA1A,0.0,0.0,1.0,0.0
WOPR_I1,0.0,0.0,1.0,0.0
WOPR_I2,0.0,0.0,1.0,0.0
WOPR_I3,0.0,0.0,1.0,0.0
WOPR_I4,0.0,0.0,1.0,0.0
WWIR_NA2,0.0,0.0,1.0,0.0
